,Open,High,Low,Close,Volume
2015-03-01,255.73,299.48,234.51,245.5,336207.0694590288
2015-04-01,245.5,263.0,215.56,236.81,233276.96349434348
2015-05-01,236.78,247.6,228.38,230.21,208239.48872257906
2015-06-01,230.18,269.39,221.58,263.82,192437.80381204846
2015-07-01,263.83,316.52,252.77,285.19,215810.72592778018
2015-08-01,285.2,286.47,198.02,230.75,224130.78325749058
2015-09-01,230.76,247.82,224.45,237.14,191596.077967459
2015-10-01,237.1,336.97,236.9,314.85,243370.8491594395
2015-11-01,314.84,499.99,293.32,376.86,374752.4309497891
2015-12-01,376.88,469.34,347.55,430.35,450640.80010371335
2016-01-01,430.35,464.4,350.92,367.95,253221.69658980184
2016-02-01,367.89,448.7,361.1,436.44,206303.83222651153
2016-03-01,436.41,437.78,381.09,416.03,212051.05726229883
2016-04-01,416.03,472.38,414.12,454.02,171655.86648985918
2016-05-01,454.02,549.99,435.0,531.34,187584.15994132057
2016-06-01,531.25,785.15,483.78,673.49,302934.7862351312
2016-07-01,673.5,705.25,608.0,626.97,187794.78382103358
2016-08-01,626.97,629.34,483.0,572.89,166710.7816448099
2016-09-01,572.89,631.3,568.12,608.99,120466.11609689995
2016-10-01,608.99,725.64,606.93,696.9,129404.77171326078
2016-11-01,697.07,753.81,671.23,742.69,135693.6712897095
2016-12-01,742.51,988.88,741.59,973.37,172266.28134464045
2017-01-01,973.37,1175.0,734.64,970.01,226930.4925249284
2017-02-01,970.01,1221.93,925.0,1195.08,170586.14859566116
2017-03-01,1197.95,1360.0,890.05,1088.99,349702.0720370076
2017-04-01,1088.99,1394.51,0.06,1384.55,226206.6905719496
2017-05-01,1384.55,2806.0,1370.98,2303.29,558512.3021700697
2017-06-01,2303.61,2999.99,2050.0,2455.19,544608.3355698175
2017-07-01,2455.19,2957.0,1758.2,2856.88,431166.5160222925
2017-08-01,2856.89,4769.03,2650.0,4743.94,428951.4411806331
2017-09-01,4743.94,4980.0,2975.01,4339.0,439458.4688448891
2017-10-01,4339.01,6472.13,4150.01,6445.01,345262.8475329092
2017-11-01,6445.01,11485.0,5511.11,9903.0,746025.8881197136
2017-12-01,9903.01,19891.99,9517.0,13863.13,1028699.4609703356
2018-01-01,13863.14,17178.0,9005.0,10099.99,638542.0251190115
2018-02-01,10099.99,11775.0,5873.0,10307.27,796902.9860457598
2018-03-01,10307.26,11645.74,6600.0,6928.5,592641.629128579
2018-04-01,6928.5,9763.49,6450.0,9243.83,397168.31164649595
2018-05-01,9243.83,9948.12,7058.0,7485.0,276356.78664019116
2018-06-01,7485.0,7777.0,5777.0,6383.19,242948.182782882
2018-07-01,6383.19,8488.0,6075.01,7727.27,256879.4636317089
2018-08-01,7727.28,7750.0,5900.0,7015.01,299169.2912404101
2018-09-01,7015.01,7402.5,6106.37,6605.0,224772.4156944088
2018-10-01,6605.0,6810.0,6033.34,6304.18,177210.78872132802
2018-11-01,6304.18,6540.0,3457.81,3976.0,477815.8296628399
2018-12-01,3976.01,4277.0,3128.89,3691.86,470381.6393039381
2019-01-01,3691.87,4088.0,3349.92,3434.1,755509.8371681374
2019-02-01,3434.1,4198.0,3373.1,3813.69,861783.9867269935
2019-03-01,3814.26,4140.0,3670.69,4103.95,788466.580394492
2019-04-01,4102.44,5600.0,4067.0,5320.81,1126961.3151009914
2019-05-01,5321.94,9074.26,5316.2,8555.0,1504732.672056576
2019-06-01,8555.0,13970.0,7444.58,10854.1,1689679.50708367
2019-07-01,10854.1,13147.08,9060.0,10080.53,1886176.0659149955
2019-08-01,10080.53,12330.7,9320.0,9587.47,1208968.8162616836
2019-09-01,9588.74,10905.87,7710.0,8289.34,1116856.4758359978
2019-10-01,8289.97,10370.0,7300.0,9140.85,1446755.8547160025
2019-11-01,9140.86,9513.68,6515.0,7541.89,1500050.5767298923
2019-12-01,7540.63,7750.0,6435.0,7195.23,1307026.4679399845
2020-01-01,7195.24,9578.0,6871.04,9352.89,1691323.137782018
2020-02-01,9351.71,10500.0,8445.0,8523.61,1612543.9145057378
2020-03-01,8523.61,9188.0,3782.13,6410.44,3790202.823470372
2020-04-01,6412.14,9460.0,6150.11,8620.0,2528499.8420445365
2020-05-01,8620.0,10067.0,8117.0,9448.27,2685340.0785079775
2020-06-01,9448.27,10380.0,8833.0,9138.55,1504882.2259374394
2020-07-01,9138.08,11444.0,8893.03,11335.46,1507827.2149400038
2020-08-01,11335.46,12468.0,10518.5,11649.51,1891193.007127998
2020-09-01,11649.51,12050.85,9825.0,10776.59,1730389.1601790006
2020-10-01,10776.59,14100.0,10374.0,13791.0,1592619.9544920002
2020-11-01,13791.0,19863.16,13195.05,19695.87,2707230.6974782543
2020-12-01,19695.87,29300.0,17572.33,28923.63,2497291.995869652
2021-01-01,28923.63,41950.0,28130.0,33349.95,3050313.6022370104
